date,open,high,low,close,per_change,volume,traded_amount,symbol
2025-01-15,293.6,295.0,290.1,292.0,1.07,32027.0,9349166.0,UNHPL
2025-01-16,290.2,293.0,288.1,290.5,-0.51,41671.0,12134999.0,UNHPL
2025-01-19,290.0,301.0,290.0,300.5,3.44,112651.0,33577850.8,UNHPL
2025-01-20,303.2,311.0,303.2,305.0,1.5,136008.0,41830229.9,UNHPL
2025-01-21,306.0,310.0,303.0,307.0,0.66,72376.0,22213329.1,UNHPL
2025-01-22,301.0,329.9,301.0,325.3,5.96,429126.0,137174502.3,UNHPL
2025-01-23,331.8,333.4,317.1,322.0,-1.01,167705.0,54247639.8,UNHPL
2025-01-26,328.4,335.0,322.3,326.8,1.49,226289.0,74704035.3,UNHPL
2025-01-27,321.0,350.0,321.0,340.0,4.04,330588.0,112128070.8,UNHPL
2025-01-28,346.7,367.0,339.0,359.0,5.59,348804.0,122483809.9,UNHPL
2025-02-02,362.0,365.9,347.0,350.0,-2.51,262327.0,92728767.8,UNHPL
2025-02-03,355.0,355.0,338.9,343.0,-2.0,191602.0,66344964.3,UNHPL
2025-02-04,348.0,369.0,343.0,352.0,2.62,207025.0,72992145.2,UNHPL
2025-02-05,349.0,362.0,349.0,360.0,2.27,222328.0,79469323.4,UNHPL
2025-02-06,367.0,371.0,360.0,361.9,0.53,197961.0,72254106.1,UNHPL
2025-02-09,363.0,370.6,347.0,352.0,-2.74,170048.0,60930460.6,UNHPL
2025-02-10,350.0,357.0,343.0,345.5,-1.85,131396.0,45490341.2,UNHPL
2025-02-11,345.5,362.0,342.1,358.0,3.62,121334.0,42956133.2,UNHPL
2025-02-12,364.8,364.8,352.1,353.2,-1.34,125939.0,45132567.3,UNHPL
2025-02-13,354.0,357.0,347.1,351.0,-0.62,85201.0,29844109.0,UNHPL
2025-02-16,358.0,358.0,346.1,353.0,0.57,101490.0,35487213.3,UNHPL
2025-02-17,354.4,362.0,354.0,355.0,0.57,118001.0,42324166.8,UNHPL
2025-02-18,355.0,360.0,346.0,348.0,-1.97,99558.0,34886502.7,UNHPL
2025-02-20,348.0,352.9,344.0,347.0,-0.29,68492.0,23723696.8,UNHPL
2025-02-23,340.1,348.0,334.1,338.0,-2.59,131162.0,44780283.9,UNHPL
2025-02-24,340.0,349.8,336.0,336.5,-0.44,104800.0,35712244.1,UNHPL
2025-02-25,331.0,348.0,331.0,343.5,2.08,130082.0,44595922.0,UNHPL
2025-02-27,337.0,359.0,337.0,354.0,3.06,95859.0,33768778.5,UNHPL
2025-03-02,347.0,368.0,347.0,357.4,0.96,124016.0,44582730.3,UNHPL
2025-03-03,350.3,364.4,346.2,351.0,-1.79,120716.0,42771840.0,UNHPL
